Year,Cases,Loss_Eok,Arrest_Cases,Arrest_People,Type,Loss_Man,Loss_Per_Case_Man
2016,3384,541,3860,5682,기관사칭형,5410000,1598.699764
2017,5685,967,3776,4925,기관사칭형,9670000,1700.967458
2018,6221,1430,4673,5491,기관사칭형,14300000,2298.665809
2019,7219,2506,5487,6045,기관사칭형,25060000,3471.39493
2020,7844,2144,4297,4797,기관사칭형,21440000,2733.299337
2021,7017,1741,1954,1895,기관사칭형,17410000,2481.117287
2022,8930,2077,4103,4500,기관사칭형,20770000,2325.867861
2023,11314,2364,7352,8039,기관사칭형,23640000,2089.446703
2024,9519,5349,7150,7449,기관사칭형,53490000,5619.28774
2025,13323,9884,,15161,기관사칭형,98840000,7418.7495
2016,13656,927,7526,9884,대출사기형,9270000,678.8224956
2017,18574,1503,15842,20548,대출사기형,15030000,809.1956498
2018,27911,2610,25279,32133,대출사기형,26100000,935.1151876
2019,30448,3892,33791,42668,대출사기형,38920000,1278.244877
2020,23837,4856,29754,34527,대출사기형,48560000,2037.169107
2021,23965,6003,25693,24502,대출사기형,60030000,2504.902984
2022,12902,3361,20419,20530,대출사기형,33610000,2605.022477
2023,7588,2108,13639,14347,대출사기형,21080000,2778.070638
2024,11320,3196,14029,14384,대출사기형,31960000,2823.321555
2025,10037,2694,,17209,대출사기형,26940000,2684.0698
2016,17040,1468,11386,15566,전체,14680000,861.5023474
2017,24259,2470,19618,25473,전체,24700000,1018.17882
2018,34132,4040,29952,37624,전체,40400000,1183.639986
2019,37667,6398,39278,48713,전체,63980000,1698.569039
2020,31681,7000,34051,39324,전체,70000000,2209.526214
2021,30982,7744,27647,26397,전체,77440000,2499.515848
2022,21832,5438,24522,25030,전체,54380000,2490.839135
2023,18902,4472,20991,22386,전체,44720000,2365.887208
2024,20839,8545,21179,21833,전체,85450000,4100.484668
2025,23360,12578,0,32370,전체,125780000,5380.9931
