연도,범죄대분류,발생건수_합,검거건수_합,검거인원_합
2016,강력범죄,25765,24897,27487
2016,교통범죄,600401,539637,614805
2016,기타범죄,260539,237952,332222
2016,노동범죄,2457,2433,5907
2016,마약범죄,7329,7096,8847
2016,병역범죄,16651,15698,18196
2016,보건범죄,14662,14447,22113
2016,선거범죄,1018,895,1696
2016,안보범죄,81,69,177
2016,절도범죄,203037,118597,109417
2016,지능범죄,312577,240226,357226
2016,특별경제범죄,65025,50608,91979
2016,폭력범죄,309394,271048,388635
2016,풍속범죄,26165,24600,47289
2016,환경범죄,4349,4252,3877
2018,강력범죄,26787,25811,28859
2018,교통범죄,408371,397277,423483
2018,기타범죄,221862,198903,268177
2018,노동범죄,1883,1851,2097
2018,마약범죄,6513,6168,8099
2018,병역범죄,14271,13137,14965
2018,보건범죄,11033,10724,17378
2018,선거범죄,1897,1746,3415
2018,안보범죄,69,50,243
2018,절도범죄,176809,106669,100392
2018,지능범죄,344698,245413,383560
2018,특별경제범죄,53994,46222,82135
2018,폭력범죄,287611,251586,357264
2018,풍속범죄,20162,18390,34347
2018,환경범죄,4791,4662,4188
2019,강력범죄,26476,25507,29462
2019,교통범죄,377354,367602,392429
2019,기타범죄,240168,214965,278274
2019,노동범죄,975,932,910
2019,마약범죄,8038,7588,10395
2019,병역범죄,12712,11742,13288
2019,보건범죄,12570,12289,18503
2019,선거범죄,611,587,1190
2019,안보범죄,169,156,657
2019,절도범죄,186957,113673,104696
2019,지능범죄,381533,267063,418364
2019,특별경제범죄,51400,44878,85013
2019,폭력범죄,287913,252877,354679
2019,풍속범죄,21153,19279,35901
2019,환경범죄,3877,3716,5254
2020,강력범죄,24332,23556,27491
2020,교통범죄,348725,339921,364682
2020,기타범죄,241829,211841,269654
2020,노동범죄,356,319,651
2020,마약범죄,9186,8707,12192
2020,병역범죄,3845,3032,4334
2020,보건범죄,14595,14121,22472
2020,선거범죄,829,731,1800
2020,안보범죄,216,166,951
2020,절도범죄,179517,111246,102018
2020,지능범죄,424642,279050,439280
2020,특별경제범죄,47826,41802,73944
2020,폭력범죄,265768,230773,323392
2020,풍속범죄,22632,20514,36974
2020,환경범죄,3568,3350,4532
2021,강력범죄,22476,21294,23305
2021,교통범죄,308634,300680,315843
2021,기타범죄,243082,210383,240136
2021,노동범죄,406,383,689
2021,마약범죄,8088,7569,10607
2021,병역범죄,1823,1365,2016
2021,보건범죄,16936,16229,39753
2021,선거범죄,274,199,371
2021,안보범죄,206,150,860
2021,절도범죄,166409,104013,87562
2021,지능범죄,361107,215471,283997
2021,특별경제범죄,40708,34525,50953
2021,폭력범죄,232661,200808,269443
2021,풍속범죄,23360,20139,30919
2021,환경범죄,3656,3457,3951
2022,강력범죄,24954,23521,25420
2022,교통범죄,241029,233413,244093
2022,기타범죄,267964,225975,254470
2022,노동범죄,714,686,635
2022,마약범죄,10331,9881,12373
2022,병역범죄,4638,3850,4765
2022,보건범죄,17749,16807,58538
2022,선거범죄,2969,2179,4273
2022,안보범죄,219,169,797
2022,절도범죄,182270,113705,96453
2022,지능범죄,405105,229265,280608
2022,특별경제범죄,48615,39078,56115
2022,폭력범죄,245286,209789,280476
2022,풍속범죄,27113,22384,34213
2022,환경범죄,3477,3086,3809
2023,강력범죄,24939,23940,25037
2023,교통범죄,235636,228584,234249
2023,기타범죄,272864,242674,251053
2023,노동범죄,1946,1911,902
2023,마약범죄,15473,14797,18016
2023,병역범죄,8617,7166,7167
2023,보건범죄,10822,10535,18086
2023,선거범죄,751,731,1592
2023,안보범죄,246,205,792
2023,절도범죄,189570,126820,100970
2023,지능범죄,432525,243310,247567
2023,특별경제범죄,59090,50375,61278
2023,폭력범죄,234561,204748,266483
2023,풍속범죄,25776,22989,33022
2023,환경범죄,7384,7200,3576
2024,강력범죄,23443,22471,23660
2024,교통범죄,231210,224288,229190
2024,기타범죄,252598,212914,254287
2024,노동범죄,339,299,503
2024,마약범죄,11380,10686,13501
2024,병역범죄,10223,8542,8374
2024,보건범죄,9317,9051,13005
2024,선거범죄,1599,1412,2374
2024,안보범죄,259,242,993
2024,절도범죄,183534,129120,101317
2024,지능범죄,505208,302987,276611
2024,특별경제범죄,103870,78423,88547
2024,폭력범죄,219798,195481,246523
2024,풍속범죄,27602,24014,41815
2024,환경범죄,2728,2552,2956
