label,label_name,stage_sequence,count
0,기관사칭,권위_사칭 -> 위협_사건제시 -> 추가지시_마무리,8
0,기관사칭,권위_사칭 -> 위협_사건제시 -> 정보확보_인증 -> 추가지시_마무리 -> 통제_압박,7
0,기관사칭,권위_사칭 -> 위협_사건제시 -> 정보확보_인증 -> 통제_압박 -> 추가지시_마무리,6
0,기관사칭,권위_사칭 -> 위협_사건제시 -> 추가지시_마무리 -> 정보확보_인증 -> 통제_압박,5
0,기관사칭,권위_사칭 -> 위협_사건제시 -> 정보확보_인증 -> 통제_압박 -> 추가지시_마무리 -> 금전요구,5
0,기관사칭,권위_사칭 -> 위협_사건제시 -> 정보확보_인증 -> 추가지시_마무리,4
0,기관사칭,추가지시_마무리 -> 위협_사건제시 -> 권위_사칭,4
0,기관사칭,권위_사칭 -> 위협_사건제시 -> 추가지시_마무리 -> 정보확보_인증,4
0,기관사칭,위협_사건제시 -> 정보확보_인증 -> 추가지시_마무리 -> 통제_압박 -> 권위_사칭,4
0,기관사칭,위협_사건제시 -> 정보확보_인증 -> 추가지시_마무리 -> 권위_사칭,4
0,기관사칭,권위_사칭 -> 위협_사건제시 -> 정보확보_인증 -> 추가지시_마무리 -> 금전요구 -> 통제_압박,3
0,기관사칭,권위_사칭 -> 위협_사건제시 -> 정보확보_인증 -> 통제_압박 -> 금전요구 -> 추가지시_마무리,3
0,기관사칭,정보확보_인증 -> 위협_사건제시 -> 추가지시_마무리 -> 권위_사칭,3
0,기관사칭,위협_사건제시 -> 추가지시_마무리 -> 권위_사칭,3
0,기관사칭,정보확보_인증 -> 추가지시_마무리 -> 위협_사건제시 -> 통제_압박 -> 권위_사칭,3
0,기관사칭,정보확보_인증 -> 위협_사건제시,3
0,기관사칭,정보확보_인증 -> 추가지시_마무리 -> 위협_사건제시 -> 통제_압박,3
0,기관사칭,위협_사건제시 -> 통제_압박 -> 정보확보_인증 -> 추가지시_마무리,3
0,기관사칭,위협_사건제시 -> 정보확보_인증 -> 통제_압박 -> 추가지시_마무리 -> 권위_사칭,3
0,기관사칭,권위_사칭 -> 위협_사건제시 -> 통제_압박 -> 정보확보_인증,3
0,기관사칭,위협_사건제시 -> 추가지시_마무리 -> 정보확보_인증,3
0,기관사칭,위협_사건제시 -> 정보확보_인증 -> 추가지시_마무리 -> 권위_사칭 -> 통제_압박,3
