기업명,연도,유출건
엔씨소프트,2005,500000
SK엔트랙,2008,210000
옥션,2008,10810000
하나로텔레콤,2008,85000000
GS칼텍스,2008,11190000
세티즌,2010,1400000
삼성카드,2010,470000
티켓몬스터,2011,1130000
메리츠화재,2011,163925
남양유업,2011,1000000
"SK텔레콤, KT",2011,198000
홈플러스,2011,7120000
곰TV넷,2011,300000
넥슨,2011,13200000
앱손,2011,350000
현대캐피탈,2011,1750000
SK커뮤니케이션즈,2011,35000000
티몬,2011,1130000
EBS,2012,4000000
KB국민카드,2012,53000000
KT,2012,8700000
유진투자선물,2013,300000
이마트,2013,3110000
롯데카드,2013,26000000
NH농협카드,2013,25000000
"청와대, 새누리당 등",2013,2940000
코웨이,2013,1980000
호텔엔조이,2014,420000
배달통,2014,130000
"이동통신3사, SK브로드밴드",2014,15000000
KT,2014,12000000
올레뮤직,2014,500000
판도라TV,2014,110000
네이버,2014,200000
천재교육,2014,3500000
능률교육,2014,1048576
롯데마트,2014,2500000
국토교통부,2014,20000000
"씨티은행,SC제일은행",2014,130000
"LG유플러스, SKT",2014,12300000
스킨푸드,2014,550000
토니모리,2016,500000
인터파크,2016,10300000
하나투어,2017,574405
기타,2017,330000
이스트소프트,2017,133800
인터파크,2017,25000000
하나투어,2017,1000000
빗썸,2017,31506
메가스터디,2017,140000
JT친애저축은행,2017,284000
메가스터디,2018,117200
네이버,2019,2222
메가스터디,2020,5700000
공공기관 ,2021,144000
서울대병원,2021,810000
대형의료기관,2021,326000
패션플랫폼 브랜디,2021,6600000
골드스푼,2021,130000
경북대학교,2022,46000
발란,2022,1620000
캔바,2022,236775
LG유플러스,2023,297117
서울대병원,2023,8200
천재교육,2023,60000
워커힐 호텔텔,2023,10000
골프존,2023,2210000
경기도교육청,2023,270000
카카오오픈채팅팅,2024,65000
한국고용정보원,2024,230000
라인야후,2024,510000
밀리의서재,2024,13000
월드코인,2025,500000
GS리테일,2025,90000
GS샵,2025,1580000
SK텔레콤,2025,23244649
롯데카드,2025,2970000
KT,2025,22227
쿠팡,2025,33700000
넷마블,2025,6110000
신한카드,2025,192088
